127.0.0.1, 2016-07-24 01:45:18, GET, /budget/static/js/modernizr-2.8.3.min.js, HTTP/1.1, 304, 0.000584
127.0.0.1, 2016-07-24 01:45:18, GET, /budget/static/js/jquery.js, HTTP/1.1, 304, 0.000603
127.0.0.1, 2016-07-24 01:45:18, GET, /budget/static/css/calendar.css, HTTP/1.1, 304, 0.000599
127.0.0.1, 2016-07-24 01:45:18, GET, /budget/static/js/calendar.js, HTTP/1.1, 304, 0.000615
127.0.0.1, 2016-07-24 01:45:18, GET, /budget/static/js/web2py.js, HTTP/1.1, 304, 0.000627
127.0.0.1, 2016-07-24 01:45:18, GET, /budget/static/js/bootstrap.min.js, HTTP/1.1, 304, 0.000367
127.0.0.1, 2016-07-24 01:45:18, GET, /budget/static/js/web2py-bootstrap3.js, HTTP/1.1, 304, 0.000620
127.0.0.1, 2016-07-24 01:45:18, GET, /budget/static/js/share.js, HTTP/1.1, 304, 0.000589
127.0.0.1, 2016-07-24 01:45:18, GET, /budget/static/images/background.jpg, HTTP/1.1, 304, 0.001245
127.0.0.1, 2016-07-24 01:45:18, GET, /budget/static/images/twitter.png, HTTP/1.1, 304, 0.000381
127.0.0.1, 2016-07-24 01:45:18, GET, /budget/static/images/facebook.png, HTTP/1.1, 304, 0.003141
127.0.0.1, 2016-07-24 01:45:18, GET, /budget/static/images/gplus-32.png, HTTP/1.1, 304, 0.000388
127.0.0.1, 2016-07-24 01:45:18, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.084353
127.0.0.1, 2016-07-24 01:45:19, GET, /budget/appadmin/hooks, HTTP/1.1, 200, 0.841882
127.0.0.1, 2016-07-24 01:45:29, POST, /admin/default/edit/budget/controllers/default.py, HTTP/1.1, 200, 0.027431
127.0.0.1, 2016-07-24 01:45:31, GET, /budget/, HTTP/1.1, 200, 0.049979
127.0.0.1, 2016-07-24 01:45:31, GET, /budget/static/css/bootstrap.min.css, HTTP/1.1, 304, 0.000398
127.0.0.1, 2016-07-24 01:45:31, GET, /budget/static/css/web2py-bootstrap3.css, HTTP/1.1, 304, 0.000358
127.0.0.1, 2016-07-24 01:45:31, GET, /budget/static/js/modernizr-2.8.3.min.js, HTTP/1.1, 304, 0.000414
127.0.0.1, 2016-07-24 01:45:31, GET, /budget/static/js/jquery.js, HTTP/1.1, 304, 0.000364
127.0.0.1, 2016-07-24 01:45:31, GET, /budget/static/css/calendar.css, HTTP/1.1, 304, 0.000349
127.0.0.1, 2016-07-24 01:45:31, GET, /budget/static/js/calendar.js, HTTP/1.1, 304, 0.000382
